year,month,DOC  [mg L-1]
1998,12,7.36
1999,1,6.84
1999,2,4.29
1999,3,5.03
1999,4,3.78
1999,5,3.88
1999,6,3.98
1999,7,5.27
1999,8,5.46
1999,9,5.68
1999,10,7.86
1999,11,4.56
1999,12,5.45
2000,1,4.8
2000,2,6.2
2000,3,5.55
2000,4,5.33
2000,5,4.69
2000,6,4.82
2000,7,4.33
2000,8,5.3
2000,9,6.27
2000,10,8.95
2000,11,5.88
2000,12,7.23
2001,1,6.12
2001,2,4.26
2001,3,5.89
2001,4,3.42
2001,5,3.83
2001,6,3.48
2001,7,3.7
2001,8,3.67
2001,9,4.14
2001,10,6.1
2001,11,4.36
2001,12,4.81
2002,1,4.37
2002,2,7.29
2002,3,5.62
2002,4,3.94
2002,5,4.47
2002,6,4.84
2002,7,3.76
2002,8,4.66
2002,9,3.74
2002,10,5.43
2002,11,6.97
2002,12,5.65
2003,1,5.18
2003,2,4.01
2003,3,3.45
2003,4,3
2003,5,3.34
2003,6,4.36
2003,7,3.91
2003,8,3.74
2003,9,4.03
2003,10,4.13
2003,11,4.23
2003,12,4.68
2004,1,4.39
2004,2,4.88
2004,3,4.31
2004,4,4.29
2004,5,4.27
2004,6,3.99
2004,7,3.72
2004,8,3.83
2004,9,3.85
2004,10,4.84
2004,11,12.34
2004,12,12.46
2005,1,3.73
2005,2,3.79
2005,3,3.92
2005,4,4.44
2005,5,4.88
2005,6,3.84
2005,7,4.35
2005,8,4.04
2005,9,3.9
2005,10,4.3
2005,11,4.99
2005,12,4.2
2006,1,3.71
2006,2,5.22
2006,3,4.4
2006,4,5.67
2006,5,4.12
2006,6,4.13
2006,7,4.18
2006,8,4.47
2006,9,4.16
2006,10,4.67
2006,11,5.79
2006,12,4.96
2007,1,4.13
2007,2,6.25
2007,3,3.17
2007,4,3.15
2007,5,3.31
2007,6,3.48
2007,7,3.83
2007,8,3.4
2007,9,2.97
2007,10,4.98
2007,11,5.76
2007,12,5.9
2008,1,6.28
2008,2,2.79
2008,3,4.57
2008,4,3.35
2008,5,5.17
2008,6,3.73
2008,7,4.61
2008,8,3.52
2008,9,5.72
2008,10,6.36
2008,11,6.6
2008,12,4.98
2009,1,5.11
2009,2,2.87
2009,3,2.82
2009,4,3.54
2009,5,3.78
2009,6,3.87
2009,7,3.7
2009,8,3.48
2009,9,3.7
2009,10,3.95
2009,11,4.38
2009,12,5.99
2010,1,5.35
2010,2,4.31
2010,3,3.57
2010,4,3.37
2010,5,3.3
2010,6,3.36
2010,7,3.45
2010,8,3.49
2010,9,3.28
2010,10,3.07
2010,11,4.65
2010,12,4.57
2011,1,3.75
2011,2,3
2011,3,3.95
2011,4,3.5
2011,5,4.7
2011,6,4.57
2011,7,4.09
2011,8,4.33
2011,9,3.78
2011,10,4.14
2011,11,5.48
